id,day,checkin,checkout
1041,2017/11/1,0,0
1238,2017/11/1,0,0
1125,2017/11/1,0,0
1230,2017/11/1,0,0
1087,2017/11/1,0,0
1007,2017/11/1,0,0
1180,2017/11/1,0,0
1370,2017/11/1,2017/11/1 6:22,2017/11/1 19:45
1137,2017/11/1,2017/11/1 6:58,2017/11/1 18:42
1226,2017/11/1,2017/11/1 7:08,2017/11/1 17:50
1140,2017/11/1,2017/11/1 7:09,2017/11/1 18:22
1253,2017/11/1,2017/11/1 7:13,2017/11/1 17:01
1102,2017/11/1,2017/11/1 7:16,2017/11/1 19:10
1342,2017/11/1,2017/11/1 7:17,2017/11/1 20:40
1186,2017/11/1,2017/11/1 7:21,2017/11/1 18:37
1397,2017/11/1,2017/11/1 7:22,2017/11/1 21:07
1493,2017/11/1,2017/11/1 7:24,2017/11/1 21:04
1210,2017/11/1,2017/11/1 7:25,2017/11/1 21:41
1359,2017/11/1,2017/11/1 7:25,2017/11/1 19:05
1145,2017/11/1,2017/11/1 7:27,2017/11/1 21:45
1456,2017/11/1,2017/11/1 7:28,2017/11/1 19:04
1204,2017/11/1,2017/11/1 7:32,2017/11/1 18:18
1484,2017/11/1,2017/11/1 7:32,2017/11/1 18:23
1431,2017/11/1,2017/11/1 7:34,2017/11/1 17:18
1467,2017/11/1,2017/11/1 7:36,2017/11/1 19:44
1257,2017/11/1,2017/11/1 7:36,2017/11/1 19:05
1417,2017/11/1,2017/11/1 7:38,2017/11/1 21:35
1220,2017/11/1,2017/11/1 7:39,2017/11/1 19:13
1224,2017/11/1,2017/11/1 7:41,2017/11/1 18:14
1457,2017/11/1,2017/11/1 7:44,2017/11/1 18:30
1124,2017/11/1,2017/11/1 7:44,2017/11/1 17:20
1307,2017/11/1,2017/11/1 7:47,2017/11/1 19:17
1369,2017/11/1,2017/11/1 7:48,2017/11/1 19:52
1108,2017/11/1,2017/11/1 7:49,2017/11/1 18:20
1255,2017/11/1,2017/11/1 7:50,2017/11/1 18:01
1327,2017/11/1,2017/11/1 7:51,2017/11/1 18:04
1286,2017/11/1,2017/11/1 7:51,2017/11/1 19:33
1248,2017/11/1,2017/11/1 7:51,2017/11/1 20:07
1451,2017/11/1,2017/11/1 7:53,2017/11/1 17:36
1459,2017/11/1,2017/11/1 7:54,2017/11/1 19:39
1347,2017/11/1,2017/11/1 7:54,2017/11/1 20:27
1368,2017/11/1,2017/11/1 7:54,2017/11/1 17:00
1293,2017/11/1,2017/11/1 7:55,2017/11/1 20:21
1498,2017/11/1,2017/11/1 7:55,2017/11/1 18:02
1346,2017/11/1,2017/11/1 7:56,2017/11/1 19:27
1345,2017/11/1,2017/11/1 7:56,2017/11/1 18:50
1213,2017/11/1,2017/11/1 7:57,2017/11/1 18:25
1252,2017/11/1,2017/11/1 8:07,2017/11/1 19:41
1154,2017/11/1,2017/11/1 8:07,2017/11/1 19:08
1344,2017/11/1,2017/11/1 8:08,2017/11/1 18:20
1251,2017/11/1,2017/11/1 8:08,2017/11/1 18:31
1142,2017/11/1,2017/11/1 8:08,2017/11/1 19:45
1127,2017/11/1,2017/11/1 8:09,2017/11/1 19:47
1486,2017/11/1,2017/11/1 8:11,2017/11/1 20:08
1351,2017/11/1,2017/11/1 8:12,2017/11/1 19:16
1491,2017/11/1,2017/11/1 8:12,2017/11/1 19:03
1439,2017/11/1,2017/11/1 8:12,2017/11/1 17:33
1362,2017/11/1,2017/11/1 8:12,2017/11/1 21:14
1254,2017/11/1,2017/11/1 8:12,2017/11/1 20:10
1296,2017/11/1,2017/11/1 8:12,2017/11/1 19:23
1330,2017/11/1,2017/11/1 8:13,2017/11/1 18:35
1449,2017/11/1,2017/11/1 8:13,2017/11/1 19:27
1495,2017/11/1,2017/11/1 8:14,2017/11/1 18:57
1098,2017/11/1,2017/11/1 8:16,2017/11/1 14:06
1306,2017/11/1,2017/11/1 8:20,2017/11/1 19:05
1490,2017/11/1,2017/11/1 8:21,2017/11/1 19:28
1205,2017/11/1,2017/11/1 8:22,2017/11/1 19:01
1270,2017/11/1,2017/11/1 8:23,2017/11/1 18:36
1207,2017/11/1,2017/11/1 8:23,2017/11/1 19:22
1349,2017/11/1,2017/11/1 8:23,2017/11/1 18:15
1115,2017/11/1,2017/11/1 8:24,2017/11/1 18:27
1191,2017/11/1,2017/11/1 8:24,2017/11/1 19:31
1393,2017/11/1,2017/11/1 8:24,2017/11/1 19:14
1182,2017/11/1,2017/11/1 8:25,2017/11/1 20:17
1466,2017/11/1,2017/11/1 8:25,2017/11/1 18:39
1428,2017/11/1,2017/11/1 8:25,2017/11/1 18:06
1406,2017/11/1,2017/11/1 8:25,2017/11/1 19:43
1165,2017/11/1,2017/11/1 8:26,2017/11/1 20:16
1197,2017/11/1,2017/11/1 8:26,2017/11/1 18:14
1477,2017/11/1,2017/11/1 8:27,2017/11/1 18:36
1483,2017/11/1,2017/11/1 8:27,2017/11/1 18:08
1321,2017/11/1,2017/11/1 8:27,2017/11/1 18:50
1455,2017/11/1,2017/11/1 8:27,2017/11/1 18:54
1246,2017/11/1,2017/11/1 8:27,2017/11/1 19:09
1199,2017/11/1,2017/11/1 8:27,2017/11/1 18:13
1147,2017/11/1,2017/11/1 8:28,2017/11/1 21:04
1496,2017/11/1,2017/11/1 8:28,2017/11/1 19:26
1396,2017/11/1,2017/11/1 8:28,2017/11/1 19:26
1299,2017/11/1,2017/11/1 8:29,2017/11/1 21:26
1481,2017/11/1,2017/11/1 8:29,2017/11/1 19:00
1177,2017/11/1,2017/11/1 8:30,2017/11/1 21:00
1265,2017/11/1,2017/11/1 8:30,2017/11/1 19:32
1435,2017/11/1,2017/11/1 8:31,2017/11/1 19:23
1100,2017/11/1,2017/11/1 8:31,2017/11/1 18:32
1106,2017/11/1,2017/11/1 8:32,2017/11/1 20:39
1278,2017/11/1,2017/11/1 8:32,2017/11/1 19:39
1348,2017/11/1,2017/11/1 8:33,2017/11/1 19:28
1312,2017/11/1,2017/11/1 8:33,2017/11/1 20:56
1104,2017/11/1,2017/11/1 8:34,2017/11/1 19:18
1425,2017/11/1,2017/11/1 8:34,2017/11/1 18:10
1336,2017/11/1,2017/11/1 8:34,2017/11/1 20:36
1420,2017/11/1,2017/11/1 8:35,2017/11/1 19:33
1382,2017/11/1,2017/11/1 8:35,2017/11/1 21:28
1262,2017/11/1,2017/11/1 8:36,2017/11/1 19:04
1221,2017/11/1,2017/11/1 8:36,2017/11/1 19:27
1189,2017/11/1,2017/11/1 8:36,2017/11/1 20:21
1234,2017/11/1,2017/11/1 8:36,2017/11/1 19:00
1134,2017/11/1,2017/11/1 8:37,2017/11/1 16:55
1209,2017/11/1,2017/11/1 8:37,2017/11/1 19:09
1305,2017/11/1,2017/11/1 8:37,2017/11/1 21:44
1446,2017/11/1,2017/11/1 8:39,2017/11/1 18:25
1399,2017/11/1,2017/11/1 8:40,2017/11/1 19:52
1129,2017/11/1,2017/11/1 8:40,2017/11/1 18:20
1405,2017/11/1,2017/11/1 8:40,2017/11/1 18:34
1303,2017/11/1,2017/11/1 8:40,2017/11/1 19:25
1326,2017/11/1,2017/11/1 8:41,2017/11/1 20:06
1429,2017/11/1,2017/11/1 8:41,2017/11/1 18:23
1243,2017/11/1,2017/11/1 8:42,2017/11/1 19:22
1153,2017/11/1,2017/11/1 8:42,2017/11/1 19:26
1277,2017/11/1,2017/11/1 8:42,2017/11/1 18:08
1471,2017/11/1,2017/11/1 8:43,2017/11/1 18:45
1371,2017/11/1,2017/11/1 8:43,2017/11/1 19:21
1473,2017/11/1,2017/11/1 8:43,2017/11/1 18:03
1152,2017/11/1,2017/11/1 8:43,2017/11/1 14:32
1388,2017/11/1,2017/11/1 8:44,2017/11/1 21:44
1343,2017/11/1,2017/11/1 8:44,2017/11/1 19:43
1378,2017/11/1,2017/11/1 8:45,2017/11/1 18:35
1328,2017/11/1,2017/11/1 8:45,2017/11/1 19:02
1149,2017/11/1,2017/11/1 8:45,2017/11/1 21:00
1211,2017/11/1,2017/11/1 8:45,2017/11/1 20:16
1110,2017/11/1,2017/11/1 8:45,2017/11/1 18:11
1354,2017/11/1,2017/11/1 8:46,2017/11/1 19:30
1112,2017/11/1,2017/11/1 8:46,2017/11/1 19:52
1322,2017/11/1,2017/11/1 8:46,2017/11/1 19:30
1169,2017/11/1,2017/11/1 8:47,2017/11/1 21:44
1480,2017/11/1,2017/11/1 8:47,2017/11/1 18:07
1357,2017/11/1,2017/11/1 8:47,2017/11/1 20:25
1416,2017/11/1,2017/11/1 8:47,2017/11/1 19:58
1103,2017/11/1,2017/11/1 8:48,2017/11/1 19:28
1436,2017/11/1,2017/11/1 8:48,2017/11/1 21:27
1339,2017/11/1,2017/11/1 8:48,2017/11/1 18:58
1433,2017/11/1,2017/11/1 8:49,2017/11/1 18:36
1184,2017/11/1,2017/11/1 8:49,2017/11/1 21:23
1295,2017/11/1,2017/11/1 8:49,2017/11/1 18:48
1373,2017/11/1,2017/11/1 8:50,2017/11/1 19:10
1172,2017/11/1,2017/11/1 8:50,2017/11/1 19:03
1499,2017/11/1,2017/11/1 8:50,2017/11/1 18:40
1379,2017/11/1,2017/11/1 8:51,2017/11/1 18:31
1183,2017/11/1,2017/11/1 8:51,2017/11/1 19:17
1132,2017/11/1,2017/11/1 8:51,2017/11/1 21:26
1013,2017/11/1,2017/11/1 8:51,2017/11/1 17:33
1170,2017/11/1,2017/11/1 8:52,2017/11/1 18:58
1118,2017/11/1,2017/11/1 8:52,2017/11/1 19:09
1323,2017/11/1,2017/11/1 8:53,2017/11/1 21:33
1398,2017/11/1,2017/11/1 8:53,2017/11/1 19:03
1423,2017/11/1,2017/11/1 8:53,2017/11/1 21:08
1403,2017/11/1,2017/11/1 8:53,2017/11/1 18:14
1159,2017/11/1,2017/11/1 8:54,2017/11/1 20:44
1391,2017/11/1,2017/11/1 8:54,2017/11/1 18:43
1409,2017/11/1,2017/11/1 8:54,2017/11/1 19:38
1440,2017/11/1,2017/11/1 8:54,2017/11/1 19:34
1192,2017/11/1,2017/11/1 8:54,2017/11/1 18:56
1223,2017/11/1,2017/11/1 8:54,2017/11/1 18:37
1334,2017/11/1,2017/11/1 8:55,2017/11/1 21:28
1139,2017/11/1,2017/11/1 8:55,2017/11/1 18:53
